Year,Period,Month,Date2,Date1,EmploymentLevel_LNU02000000,UnemploymentRate_LNU04000000,SelfEmployment_LNU02027714,sempr,Date3
1988,M06,6,1988 06,1988 Jun,116209,5.5,10034,0.086344431,6 1988
1988,M07,7,1988 07,1988 Jul,117066,5.5,10087,0.086165069,7 1988
1988,M08,8,1988 08,1988 Aug,116737,5.4,10186,0.087255969,8 1988
1988,M09,9,1988 09,1988 Sep,115474,5.2,10092,0.087396297,9 1988
1988,M10,10,1988 10,1988 Oct,116250,5,10054,0.086486022,10 1988
1988,M11,11,1988 11,1988 Nov,116314,5.2,10230,0.087951579,11 1988
1988,M12,12,1988 12,1988 Dec,115978,5,9859,0.085007501,12 1988
1989,M01,1,1989 01,1989 Jan,114786,6,9804,0.085411113,1 1989
1989,M02,2,1989 02,1989 Feb,115023,5.6,9605,0.083505038,2 1989
1989,M03,3,1989 03,1989 Mar,115844,5.2,9718,0.083888678,3 1989
1989,M04,4,1989 04,1989 Apr,116347,5.1,10022,0.086138878,4 1989
1989,M05,5,1989 05,1989 May,117039,5,9970,0.08518528,5 1989
1989,M06,6,1989 06,1989 Jun,118719,5.5,10117,0.085218036,6 1989
1989,M07,7,1989 07,1989 Jul,119502,5.3,10231,0.08561363,7 1989
1989,M08,8,1989 08,1989 Aug,119092,5.1,10290,0.086403789,8 1989
1989,M09,9,1989 09,1989 Sep,117498,5.1,10109,0.086035507,9 1989
1989,M10,10,1989 10,1989 Oct,118194,5,10265,0.08684874,10 1989
1989,M11,11,1989 11,1989 Nov,118168,5.2,9988,0.084523729,11 1989
1989,M12,12,1989 12,1989 Dec,117698,5.1,9937,0.084427943,12 1989
1990,M01,1,1990 01,1990 Jan,116944,6,9775,0.083587016,1 1990
1990,M02,2,1990 02,1990 Feb,117192,5.9,9599,0.081908321,2 1990
1990,M03,3,1990 03,1990 Mar,117986,5.5,9930,0.084162528,3 1990
1990,M04,4,1990 04,1990 Apr,118218,5.3,10060,0.085097024,4 1990
1990,M05,5,1990 05,1990 May,119148,5.2,10236,0.085909961,5 1990
1990,M06,6,1990 06,1990 Jun,120523,5.4,10322,0.085643404,6 1990
1990,M07,7,1990 07,1990 Jul,120882,5.6,10210,0.084462534,7 1990
1990,M08,8,1990 08,1990 Aug,120096,5.5,10168,0.084665601,8 1990
1990,M09,9,1990 09,1990 Sep,118782,5.6,10106,0.085080231,9 1990
1990,M10,10,1990 10,1990 Oct,119175,5.5,10389,0.087174323,10 1990
1990,M11,11,1990 11,1990 Nov,118463,5.9,10160,0.085765176,11 1990
1990,M12,12,1990 12,1990 Dec,118110,6,10210,0.08644484,12 1990
1991,M01,1,1991 01,1991 Jan,115837,7.1,9831,0.084869256,1 1991
1991,M02,2,1991 02,1991 Feb,115941,7.3,9845,0.084913879,2 1991
1991,M03,3,1991 03,1991 Mar,116440,7.2,10020,0.086052903,3 1991
1991,M04,4,1991 04,1991 Apr,117472,6.5,10572,0.089995914,4 1991
1991,M05,5,1991 05,1991 May,117428,6.7,10169,0.086597745,5 1991
1991,M06,6,1991 06,1991 Jun,119151,7,10488,0.088022761,6 1991
1991,M07,7,1991 07,1991 Jul,119666,6.8,10462,0.087426671,7 1991
1991,M08,8,1991 08,1991 Aug,118758,6.6,10435,0.087867765,8 1991
1991,M09,9,1991 09,1991 Sep,118156,6.5,10430,0.08827313,9 1991
1991,M10,10,1991 10,1991 Oct,118404,6.5,10578,0.089338198,10 1991
1991,M11,11,1991 11,1991 Nov,117972,6.7,10430,0.088410809,11 1991
1991,M12,12,1991 12,1991 Dec,117395,6.9,10022,0.085369905,12 1991
1992,M01,1,1992 01,1992 Jan,115928,8.1,9593,0.082749638,1 1992
1992,M02,2,1992 02,1992 Feb,116024,8.2,9650,0.083172447,2 1992
1992,M03,3,1992 03,1992 Mar,116929,7.8,9742,0.083315516,3 1992
1992,M04,4,1992 04,1992 Apr,117776,7.2,9744,0.082733324,4 1992
1992,M05,5,1992 05,1992 May,118388,7.3,9958,0.084113255,5 1992
1992,M06,6,1992 06,1992 Jun,119831,8,10076,0.084085086,6 1992
1992,M07,7,1992 07,1992 Jul,120744,7.7,10182,0.084327172,7 1992
1992,M08,8,1992 08,1992 Aug,120070,7.4,10185,0.084825518,8 1992
1992,M09,9,1992 09,1992 Sep,118880,7.3,10140,0.085296097,9 1992
1992,M10,10,1992 10,1992 Oct,119185,6.9,10171,0.08533792,10 1992
1992,M11,11,1992 11,1992 Nov,119159,7.1,10136,0.085062815,11 1992
1992,M12,12,1992 12,1992 Dec,118990,7.1,9944,0.083570048,12 1992
1993,M01,1,1993 01,1993 Jan,117027,8,9832,0.0840148,1 1993
1993,M02,2,1993 02,1993 Feb,117646,7.8,9988,0.084898764,2 1993
1993,M03,3,1993 03,1993 Mar,118350,7.4,9926,0.083869877,3 1993
1993,M04,4,1993 04,1993 Apr,118781,6.9,10160,0.085535565,4 1993
1993,M05,5,1993 05,1993 May,120142,6.8,10593,0.088170665,5 1993
1993,M06,6,1993 06,1993 Jun,121587,7.2,10584,0.08704878,6 1993
1993,M07,7,1993 07,1993 Jul,122352,7,10574,0.08642278,7 1993
1993,M08,8,1993 08,1993 Aug,122018,6.6,10469,0.085798817,8 1993
1993,M09,9,1993 09,1993 Sep,120673,6.4,10326,0.085570094,9 1993
1993,M10,10,1993 10,1993 Oct,121389,6.4,10364,0.085378412,10 1993
1993,M11,11,1993 11,1993 Nov,121568,6.2,10393,0.085491248,11 1993
1993,M12,12,1993 12,1993 Dec,121578,6.1,10146,0.083452598,12 1993
1994,M01,1,1994 01,1994 Jan,119901,7.3,10248,0.085470513,1 1994
1994,M02,2,1994 02,1994 Feb,120503,7.1,10548,0.08753309,2 1994
1994,M03,3,1994 03,1994 Mar,120844,6.8,10524,0.087087485,3 1994
1994,M04,4,1994 04,1994 Apr,121604,6.2,10589,0.087077728,4 1994
1994,M05,5,1994 05,1994 May,122946,5.9,10906,0.088705611,5 1994
1994,M06,6,1994 06,1994 Jun,123864,6.2,10757,0.08684525,6 1994
1994,M07,7,1994 07,1994 Jul,124503,6.2,10821,0.086913568,7 1994
1994,M08,8,1994 08,1994 Aug,124493,5.9,10925,0.087755938,8 1994
1994,M09,9,1994 09,1994 Sep,123775,5.6,10692,0.086382549,9 1994
1994,M10,10,1994 10,1994 Oct,124724,5.4,10583,0.084851352,10 1994
1994,M11,11,1994 11,1994 Nov,124896,5.3,10650,0.085270945,11 1994
1994,M12,12,1994 12,1994 Dec,124729,5.1,10527,0.084398977,12 1994
1995,M01,1,1995 01,1995 Jan,122597,6.2,10301,0.084023263,1 1995
1995,M02,2,1995 02,1995 Feb,123343,5.9,10348,0.083896127,2 1995
1995,M03,3,1995 03,1995 Mar,123943,5.7,10330,0.083344763,3 1995
1995,M04,4,1995 04,1995 Apr,124278,5.6,10395,0.083643123,4 1995
1995,M05,5,1995 05,1995 May,124554,5.5,10543,0.084646017,5 1995
1995,M06,6,1995 06,1995 Jun,125720,5.8,10565,0.084035953,6 1995
1995,M07,7,1995 07,1995 Jul,126548,5.9,10841,0.085667099,7 1995
1995,M08,8,1995 08,1995 Aug,125926,5.6,10636,0.084462303,8 1995
1995,M09,9,1995 09,1995 Sep,125173,5.4,10562,0.084379219,9 1995
1995,M10,10,1995 10,1995 Oct,125979,5.2,10580,0.083982251,10 1995
1995,M11,11,1995 11,1995 Nov,125599,5.3,10377,0.082620085,11 1995
1995,M12,12,1995 12,1995 Dec,125136,5.2,10305,0.082350403,12 1995
1996,M01,1,1996 01,1996 Jan,123126,6.3,10128,0.0822572,1 1996
1996,M02,2,1996 02,1996 Feb,124137,6,10281,0.082819788,2 1996
1996,M03,3,1996 03,1996 Mar,124992,5.8,10476,0.083813364,3 1996
1996,M04,4,1996 04,1996 Apr,125388,5.4,10474,0.083532714,4 1996
1996,M05,5,1996 05,1996 May,126391,5.4,10457,0.082735321,5 1996
1996,M06,6,1996 06,1996 Jun,127706,5.5,10660,0.083472977,6 1996
1996,M07,7,1996 07,1996 Jul,128579,5.6,10775,0.083800621,7 1996
1996,M08,8,1996 08,1996 Aug,128143,5.1,10591,0.082649852,8 1996
1996,M09,9,1996 09,1996 Sep,127529,5,10441,0.081871574,9 1996
1996,M10,10,1996 10,1996 Oct,128439,4.9,10633,0.082786381,10 1996
1996,M11,11,1996 11,1996 Nov,128157,5,10470,0.081696669,11 1996
1996,M12,12,1996 12,1996 Dec,127903,5,10489,0.082007459,12 1996
1997,M01,1,1997 01,1997 Jan,126384,5.9,10554,0.083507406,1 1997
1997,M02,2,1997 02,1997 Feb,126887,5.7,10290,0.081095778,2 1997
1997,M03,3,1997 03,1997 Mar,128125,5.5,10593,0.082677073,3 1997
1997,M04,4,1997 04,1997 Apr,128629,4.8,10525,0.081824472,4 1997
1997,M05,5,1997 05,1997 May,129565,4.7,10634,0.082074634,5 1997
1997,M06,6,1997 06,1997 Jun,130463,5.2,10666,0.08175498,6 1997
1997,M07,7,1997 07,1997 Jul,131350,5,10630,0.080928816,7 1997
1997,M08,8,1997 08,1997 Aug,130865,4.8,10555,0.080655637,8 1997
1997,M09,9,1997 09,1997 Sep,129972,4.7,10521,0.080948204,9 1997
1997,M10,10,1997 10,1997 Oct,130671,4.4,10454,0.080002449,10 1997
1997,M11,11,1997 11,1997 Nov,130999,4.3,10475,0.079962442,11 1997
1997,M12,12,1997 12,1997 Dec,130785,4.4,10264,0.078479948,12 1997
1998,M01,1,1998 01,1998 Jan,128882,5.2,10050,0.077978306,1 1998
1998,M02,2,1998 02,1998 Feb,129482,5,9893,0.076404442,2 1998
1998,M03,3,1998 03,1998 Mar,130150,5,9987,0.076734537,3 1998
1998,M04,4,1998 04,1998 Apr,130735,4.1,10368,0.079305465,4 1998
1998,M05,5,1998 05,1998 May,131476,4.2,10498,0.079847273,5 1998
1998,M06,6,1998 06,1998 Jun,132265,4.7,10592,0.080081654,6 1998
1998,M07,7,1998 07,1998 Jul,132769,4.7,10710,0.080666421,7 1998
1998,M08,8,1998 08,1998 Aug,132206,4.5,10404,0.078695369,8 1998
1998,M09,9,1998 09,1998 Sep,131864,4.4,10500,0.079627495,9 1998
1998,M10,10,1998 10,1998 Oct,132424,4.2,10400,0.078535613,10 1998
1998,M11,11,1998 11,1998 Nov,132577,4.1,10252,0.077328647,11 1998
1998,M12,12,1998 12,1998 Dec,132732,4,9986,0.075234307,12 1998
1999,M01,1,1999 01,1999 Jan,131339,4.8,9861,0.075080517,1 1999
1999,M02,2,1999 02,1999 Feb,131639,4.7,9730,0.073914266,2 1999
1999,M03,3,1999 03,1999 Mar,132299,4.4,9909,0.074898525,3 1999
1999,M04,4,1999 04,1999 Apr,132552,4.1,10206,0.076996198,4 1999
1999,M05,5,1999 05,1999 May,133411,4,10135,0.075968248,5 1999
1999,M06,6,1999 06,1999 Jun,134395,4.5,10398,0.07736895,6 1999
1999,M07,7,1999 07,1999 Jul,134800,4.5,10403,0.077173591,7 1999
1999,M08,8,1999 08,1999 Aug,134264,4.2,10436,0.077727462,8 1999
1999,M09,9,1999 09,1999 Sep,133555,4.1,10110,0.07569915,9 1999
1999,M10,10,1999 10,1999 Oct,134390,3.8,10253,0.076292879,10 1999
1999,M11,11,1999 11,1999 Nov,134515,3.8,9908,0.073657213,11 1999
1999,M12,12,1999 12,1999 Dec,134696,3.7,9693,0.071962048,12 1999
2000,M01,1,2000 01,2000 Jan,134912,4.5,10087,0.074767256,1 2000
2000,M02,2,2000 02,2000 Feb,135490,4.4,10041,0.07410879,2 2000
2000,M03,3,2000 03,2000 Mar,136054,4.3,10144,0.074558631,3 2000
2000,M04,4,2000 04,2000 Apr,136927,3.7,10430,0.076171975,4 2000
2000,M05,5,2000 05,2000 May,136685,3.8,10396,0.07605809,5 2000
2000,M06,6,2000 06,2000 Jun,137915,4.1,10405,0.07544502,6 2000
2000,M07,7,2000 07,2000 Jul,137769,4.2,10408,0.075546749,7 2000
2000,M08,8,2000 08,2000 Aug,137308,4.1,10360,0.075450811,8 2000
2000,M09,9,2000 09,2000 Sep,136790,3.8,10481,0.076621098,9 2000
2000,M10,10,2000 10,2000 Oct,137532,3.6,10112,0.073524707,10 2000
2000,M11,11,2000 11,2000 Nov,137461,3.7,9858,0.071714886,11 2000
2000,M12,12,2000 12,2000 Dec,137846,3.7,9849,0.071449298,12 2000
2001,M01,1,2001 01,2001 Jan,136181,4.7,9908,0.072756111,1 2001
2001,M02,2,2001 02,2001 Feb,136577,4.6,9882,0.072354789,2 2001
2001,M03,3,2001 03,2001 Mar,137155,4.5,10173,0.074171558,3 2001
2001,M04,4,2001 04,2001 Apr,137022,4.2,10207,0.074491687,4 2001
2001,M05,5,2001 05,2001 May,137121,4.1,10153,0.074044092,5 2001
2001,M06,6,2001 06,2001 Jun,137737,4.7,10389,0.075426356,6 2001
2001,M07,7,2001 07,2001 Jul,138239,4.7,10359,0.074935438,7 2001
2001,M08,8,2001 08,2001 Aug,136809,4.9,10139,0.074110621,8 2001
2001,M09,9,2001 09,2001 Sep,136835,4.7,10230,0.074761574,9 2001
2001,M10,10,2001 10,2001 Oct,136885,5,10199,0.074507799,10 2001
2001,M11,11,2001 11,2001 Nov,136370,5.3,9878,0.072435286,11 2001
2001,M12,12,2001 12,2001 Dec,136269,5.4,9785,0.0718065,12 2001
2002,M01,1,2002 01,2002 Jan,134177,6.3,9476,0.070623132,1 2002
2002,M02,2,2002 02,2002 Feb,135443,6.1,9425,0.069586468,2 2002
2002,M03,3,2002 03,2002 Mar,135558,6.1,9529,0.070294634,3 2002
2002,M04,4,2002 04,2002 Apr,135903,5.7,9790,0.072036673,4 2002
2002,M05,5,2002 05,2002 May,136559,5.5,9857,0.072181255,5 2002
2002,M06,6,2002 06,2002 Jun,137181,6,9927,0.072364249,6 2002
2002,M07,7,2002 07,2002 Jul,137495,5.9,10093,0.073406306,7 2002
2002,M08,8,2002 08,2002 Aug,137295,5.7,10060,0.07327288,8 2002
2002,M09,9,2002 09,2002 Sep,137377,5.4,10187,0.074153606,9 2002
2002,M10,10,2002 10,2002 Oct,137551,5.3,10280,0.074735916,10 2002
2002,M11,11,2002 11,2002 Nov,136684,5.6,10341,0.075656258,11 2002
2002,M12,12,2002 12,2002 Dec,136599,5.7,10146,0.0742758,12 2002
2003,M01,1,2003 01,2003 Jan,135907,6.5,10229,0.075264703,1 2003
2003,M02,2,2003 02,2003 Feb,136433,6.4,9882,0.072431157,2 2003
2003,M03,3,2003 03,2003 Mar,136783,6.2,9914,0.072479767,3 2003
2003,M04,4,2003 04,2003 Apr,137424,5.8,10094,0.073451508,4 2003
2003,M05,5,2003 05,2003 May,137567,5.8,10065,0.073164349,5 2003
2003,M06,6,2003 06,2003 Jun,138468,6.5,10394,0.075064275,6 2003
2003,M07,7,2003 07,2003 Jul,138503,6.3,10475,0.075630131,7 2003
2003,M08,8,2003 08,2003 Aug,138137,6,10593,0.076684741,8 2003
2003,M09,9,2003 09,2003 Sep,137731,5.8,10446,0.075843492,9 2003
2003,M10,10,2003 10,2003 Oct,138619,5.6,10570,0.076252173,10 2003
2003,M11,11,2003 11,2003 Nov,138700,5.6,10602,0.076438356,11 2003
2003,M12,12,2003 12,2003 Dec,138556,5.4,10282,0.074208262,12 2003
2004,M01,1,2004 01,2004 Jan,136924,6.3,10296,0.075194999,1 2004
2004,M02,2,2004 02,2004 Feb,137384,6,10067,0.073276364,2 2004
2004,M03,3,2004 03,2004 Mar,137691,6,9835,0.071428053,3 2004
2004,M04,4,2004 04,2004 Apr,138423,5.4,10083,0.072841941,4 2004
2004,M05,5,2004 05,2004 May,138867,5.3,10354,0.074560551,5 2004
2004,M06,6,2004 06,2004 Jun,139861,5.8,10494,0.075031639,6 2004
2004,M07,7,2004 07,2004 Jul,140700,5.7,10780,0.076616915,7 2004
2004,M08,8,2004 08,2004 Aug,140226,5.4,10892,0.077674611,8 2004
2004,M09,9,2004 09,2004 Sep,139641,5.1,10582,0.075780036,9 2004
2004,M10,10,2004 10,2004 Oct,140447,5.1,10833,0.077132299,10 2004
2004,M11,11,2004 11,2004 Nov,140581,5.2,10616,0.075515183,11 2004
2004,M12,12,2004 12,2004 Dec,140278,5.1,10338,0.073696517,12 2004
2005,M01,1,2005 01,2005 Jan,138682,5.7,10314,0.074371584,1 2005
2005,M02,2,2005 02,2005 Feb,139100,5.8,10313,0.074140906,2 2005
2005,M03,3,2005 03,2005 Mar,139759,5.4,10412,0.074499674,3 2005
2005,M04,4,2005 04,2005 Apr,140939,4.9,10833,0.07686304,4 2005
2005,M05,5,2005 05,2005 May,141591,4.9,10635,0.075110706,5 2005
2005,M06,6,2005 06,2005 Jun,142456,5.2,10560,0.074128152,6 2005
2005,M07,7,2005 07,2005 Jul,143283,5.2,10716,0.074789054,7 2005
2005,M08,8,2005 08,2005 Aug,143142,4.9,10367,0.072424585,8 2005
2005,M09,9,2005 09,2005 Sep,142579,4.8,10439,0.073215551,9 2005
2005,M10,10,2005 10,2005 Oct,143340,4.6,10522,0.073405888,10 2005
2005,M11,11,2005 11,2005 Nov,142968,4.8,10299,0.072037099,11 2005
2005,M12,12,2005 12,2005 Dec,142918,4.6,10163,0.071110707,12 2005
2006,M01,1,2006 01,2006 Jan,141481,5.1,10369,0.073288993,1 2006
2006,M02,2,2006 02,2006 Feb,141994,5.1,10419,0.07337634,2 2006
2006,M03,3,2006 03,2006 Mar,142772,4.8,10394,0.07280139,3 2006
2006,M04,4,2006 04,2006 Apr,143405,4.5,10489,0.073142499,4 2006
2006,M05,5,2006 05,2006 May,144041,4.4,10588,0.073506849,5 2006
2006,M06,6,2006 06,2006 Jun,145216,4.8,10698,0.073669568,6 2006
2006,M07,7,2006 07,2006 Jul,145606,5,10676,0.073321154,7 2006
2006,M08,8,2006 08,2006 Aug,145379,4.6,10736,0.073848355,8 2006
2006,M09,9,2006 09,2006 Sep,145010,4.4,10720,0.073925936,9 2006
2006,M10,10,2006 10,2006 Oct,146125,4.1,10787,0.073820359,10 2006
2006,M11,11,2006 11,2006 Nov,146014,4.3,10580,0.072458805,11 2006
2006,M12,12,2006 12,2006 Dec,146081,4.3,10576,0.07239819,12 2006
2007,M01,1,2007 01,2007 Jan,144275,5,10235,0.070940911,1 2007
2007,M02,2,2007 02,2007 Feb,144479,4.9,10291,0.071228345,2 2007
2007,M03,3,2007 03,2007 Mar,145323,4.5,10465,0.072012001,3 2007
2007,M04,4,2007 04,2007 Apr,145297,4.3,10497,0.072245126,4 2007
2007,M05,5,2007 05,2007 May,145864,4.3,10602,0.072684144,5 2007
2007,M06,6,2007 06,2007 Jun,146958,4.7,10804,0.073517604,6 2007
2007,M07,7,2007 07,2007 Jul,147315,4.9,10703,0.072653837,7 2007
2007,M08,8,2007 08,2007 Aug,146406,4.6,10559,0.072121361,8 2007
2007,M09,9,2007 09,2007 Sep,146448,4.5,10507,0.071745603,9 2007
2007,M10,10,2007 10,2007 Oct,146743,4.4,10293,0.070143039,10 2007
2007,M11,11,2007 11,2007 Nov,147118,4.5,10127,0.0688359,11 2007
2007,M12,12,2007 12,2007 Dec,146334,4.8,9875,0.067482608,12 2007
2008,M01,1,2008 01,2008 Jan,144607,5.4,9876,0.068295449,1 2008
2008,M02,2,2008 02,2008 Feb,144550,5.2,10100,0.069872017,2 2008
2008,M03,3,2008 03,2008 Mar,145108,5.2,9918,0.068349092,3 2008
2008,M04,4,2008 04,2008 Apr,145921,4.8,10194,0.069859719,4 2008
2008,M05,5,2008 05,2008 May,145927,5.2,10335,0.070823083,5 2008
2008,M06,6,2008 06,2008 Jun,146649,5.7,10501,0.071606353,6 2008
2008,M07,7,2008 07,2008 Jul,146867,6,10621,0.07231713,7 2008
2008,M08,8,2008 08,2008 Aug,145909,6.1,10340,0.070866088,8 2008
2008,M09,9,2008 09,2008 Sep,145310,6,10126,0.0696855,9 2008
2008,M10,10,2008 10,2008 Oct,145543,6.1,9735,0.066887449,10 2008
2008,M11,11,2008 11,2008 Nov,144609,6.5,9625,0.06655879,11 2008
2008,M12,12,2008 12,2008 Dec,143350,7.1,9585,0.066864318,12 2008
2009,M01,1,2009 01,2009 Jan,140436,8.5,9379,0.06678487,1 2009
2009,M02,2,2009 02,2009 Feb,140105,8.9,9675,0.069055351,2 2009
2009,M03,3,2009 03,2009 Mar,139833,9,9910,0.070870252,3 2009
2009,M04,4,2009 04,2009 Apr,140586,8.6,9957,0.070824975,4 2009
2009,M05,5,2009 05,2009 May,140363,9.1,10000,0.071243846,5 2009
2009,M06,6,2009 06,2009 Jun,140826,9.7,10079,0.071570591,6 2009
2009,M07,7,2009 07,2009 Jul,141055,9.7,9933,0.07041934,7 2009
2009,M08,8,2009 08,2009 Aug,140074,9.6,10116,0.07221897,8 2009
2009,M09,9,2009 09,2009 Sep,139079,9.5,9959,0.071606785,9 2009
2009,M10,10,2009 10,2009 Oct,139088,9.5,9627,0.069215173,10 2009
2009,M11,11,2009 11,2009 Nov,139132,9.4,9713,0.069811402,11 2009
2009,M12,12,2009 12,2009 Dec,137953,9.7,9622,0.069748393,12 2009
2010,M01,1,2010 01,2010 Jan,136809,10.6,9386,0.068606598,1 2010
2010,M02,2,2010 02,2010 Feb,137203,10.4,9749,0.071055298,2 2010
2010,M03,3,2010 03,2010 Mar,137983,10.2,9632,0.069805701,3 2010
2010,M04,4,2010 04,2010 Apr,139302,9.5,9785,0.070243069,4 2010
2010,M05,5,2010 05,2010 May,139497,9.3,9935,0.07122017,5 2010
2010,M06,6,2010 06,2010 Jun,139882,9.6,9977,0.071324402,6 2010
2010,M07,7,2010 07,2010 Jul,140134,9.7,9811,0.07001156,7 2010
2010,M08,8,2010 08,2010 Aug,139919,9.5,9770,0.069826114,8 2010
2010,M09,9,2010 09,2010 Sep,139715,9.2,9680,0.069283899,9 2010
2010,M10,10,2010 10,2010 Oct,139749,9,9657,0.069102462,10 2010
2010,M11,11,2010 11,2010 Nov,139415,9.3,9477,0.067976903,11 2010
2010,M12,12,2010 12,2010 Dec,139159,9.1,9309,0.066894703,12 2010
2011,M01,1,2011 01,2011 Jan,137599,9.8,9345,0.067914738,1 2011
2011,M02,2,2011 02,2011 Feb,138093,9.5,9421,0.06822214,2 2011
2011,M03,3,2011 03,2011 Mar,138962,9.2,9476,0.068191304,3 2011
2011,M04,4,2011 04,2011 Apr,139661,8.7,9523,0.068186537,4 2011
2011,M05,5,2011 05,2011 May,140028,8.7,9661,0.068993344,5 2011
2011,M06,6,2011 06,2011 Jun,140129,9.3,9627,0.068700983,6 2011
2011,M07,7,2011 07,2011 Jul,140384,9.3,9485,0.06756468,7 2011
2011,M08,8,2011 08,2011 Aug,140335,9.1,9575,0.068229593,8 2011
2011,M09,9,2011 09,2011 Sep,140502,8.8,9249,0.065828244,9 2011
2011,M10,10,2011 10,2011 Oct,140987,8.5,9374,0.0664884,10 2011
2011,M11,11,2011 11,2011 Nov,141070,8.2,9400,0.066633586,11 2011
2011,M12,12,2011 12,2011 Dec,140681,8.3,9252,0.065765811,12 2011
2012,M01,1,2012 01,2012 Jan,139944,8.8,9256,0.066140742,1 2012
2012,M02,2,2012 02,2012 Feb,140684,8.7,9110,0.064755054,2 2012
2012,M03,3,2012 03,2012 Mar,141412,8.4,9232,0.065284417,3 2012
2012,M04,4,2012 04,2012 Apr,141995,7.7,9357,0.065896687,4 2012
2012,M05,5,2012 05,2012 May,142727,7.9,9627,0.067450447,5 2012
2012,M06,6,2012 06,2012 Jun,143202,8.4,9875,0.068958534,6 2012
2012,M07,7,2012 07,2012 Jul,143126,8.6,9800,0.068471137,7 2012
2012,M08,8,2012 08,2012 Aug,142558,8.2,9618,0.067467276,8 2012
2012,M09,9,2012 09,2012 Sep,143333,7.6,9702,0.06768853,9 2012
2012,M10,10,2012 10,2012 Oct,144039,7.5,9532,0.066176522,10 2012
2012,M11,11,2012 11,2012 Nov,143549,7.4,9738,0.067837463,11 2012
2012,M12,12,2012 12,2012 Dec,143060,7.6,9502,0.066419684,12 2012
2013,M01,1,2013 01,2013 Jan,141614,8.5,9200,0.064965328,1 2013
2013,M02,2,2013 02,2013 Feb,142228,8.1,9250,0.06503642,2 2013
2013,M03,3,2013 03,2013 Mar,142698,7.6,8964,0.062817979,3 2013
2013,M04,4,2013 04,2013 Apr,143724,7.1,9415,0.0655075,4 2013
2013,M05,5,2013 05,2013 May,144432,7.3,9546,0.066093387,5 2013
2013,M06,6,2013 06,2013 Jun,144841,7.8,9720,0.06710807,6 2013
2013,M07,7,2013 07,2013 Jul,145113,7.7,9925,0.068394975,7 2013
2013,M08,8,2013 08,2013 Aug,144509,7.3,9638,0.066694808,8 2013
2013,M09,9,2013 09,2013 Sep,144651,7,9486,0.06557853,9 2013
2013,M10,10,2013 10,2013 Oct,144144,7,9292,0.064463314,10 2013
2013,M11,11,2013 11,2013 Nov,144775,6.6,9343,0.064534623,11 2013
2013,M12,12,2013 12,2013 Dec,144423,6.5,9122,0.063161685,12 2013
2014,M01,1,2014 01,2014 Jan,143526,7,9042,0.062999039,1 2014
2014,M02,2,2014 02,2014 Feb,144134,7,9261,0.064252709,2 2014
2014,M03,3,2014 03,2014 Mar,145090,6.8,9249,0.06374664,3 2014
2014,M04,4,2014 04,2014 Apr,145767,5.9,9290,0.063731846,4 2014
2014,M05,5,2014 05,2014 May,146398,6.1,9199,0.062835558,5 2014
2014,M06,6,2014 06,2014 Jun,147104,6.3,9340,0.063492495,6 2014
2014,M07,7,2014 07,2014 Jul,147265,6.5,9337,0.063402709,7 2014
2014,M08,8,2014 08,2014 Aug,146647,6.3,9332,0.063635806,8 2014
2014,M09,9,2014 09,2014 Sep,146941,5.7,9592,0.065277901,9 2014
2014,M10,10,2014 10,2014 Oct,147936,5.5,9715,0.06567029,10 2014
2014,M11,11,2014 11,2014 Nov,147666,5.5,9640,0.065282462,11 2014
2014,M12,12,2014 12,2014 Dec,147190,5.4,9304,0.063210816,12 2014
2015,M01,1,2015 01,2015 Jan,146552,6.1,9315,0.063561057,1 2015
2015,M02,2,2015 02,2015 Feb,147118,5.8,9047,0.061494854,2 2015
2015,M03,3,2015 03,2015 Mar,147635,5.6,9469,0.064137908,3 2015
2015,M04,4,2015 04,2015 Apr,148587,5.1,9636,0.064850895,4 2015
2015,M05,5,2015 05,2015 May,149349,5.3,10073,0.067446049,5 2015
2015,M06,6,2015 06,2015 Jun,149645,5.5,9731,0.065027231,6 2015
2015,M07,7,2015 07,2015 Jul,149722,5.6,9791,0.065394531,7 2015
2015,M08,8,2015 08,2015 Aug,149228,5.2,9669,0.06479347,8 2015
2015,M09,9,2015 09,2015 Sep,148980,4.9,9262,0.062169419,9 2015
2015,M10,10,2015 10,2015 Oct,149716,4.8,9469,0.063246413,10 2015
2015,M11,11,2015 11,2015 Nov,149766,4.8,9493,0.063385548,11 2015
2015,M12,12,2015 12,2015 Dec,149703,4.8,9146,0.0610943,12 2015
2016,M01,1,2016 01,2016 Jan,149037,5.3,9291,0.062340224,1 2016
2016,M02,2,2016 02,2016 Feb,150060,5.2,9463,0.063061442,2 2016
2016,M03,3,2016 03,2016 Mar,150738,5.1,9724,0.064509281,3 2016
2016,M04,4,2016 04,2016 Apr,151075,4.7,9809,0.064928016,4 2016
2016,M05,5,2016 05,2016 May,151594,4.5,9813,0.064732113,5 2016
2016,M06,6,2016 06,2016 Jun,151990,5.1,9794,0.06443845,6 2016
2016,M07,7,2016 07,2016 Jul,152437,5.1,9586,0.062884995,7 2016
2016,M08,8,2016 08,2016 Aug,151804,5,9577,0.063087929,8 2016
2016,M09,9,2016 09,2016 Sep,151977,4.8,9486,0.062417339,9 2016
2016,M10,10,2016 10,2016 Oct,152335,4.7,9558,0.062743296,10 2016
2016,M11,11,2016 11,2016 Nov,152385,4.4,9553,0.062689897,11 2016
